Date,Time,Start Time (ISO),Matchup,game_id,market,market_class,side,lookup_side,sim_prob,fair_odds,market_prob,market_fv,consensus_prob,pricing_method,books_used,model_edge,market_odds,ev_percent,blended_prob,blended_fv,hours_to_game,stake,cumulative_stake,entry_type,segment,segment_label,best_book,date_simulated,result
,,,,2025-06-04-ARI@ATL,spreads_1st_7_innings,alternate,ARI +1.5,ARI +1.5,0.7128,-248.19,0.567,,0.56703,devig,"betmgm, draftkings",0.1458,-140,17.3,0.6842,-216.71,11.19,3.025,,first,derivative,derivative,draftkings,2025-06-04 8:04,Win
,,,,2025-06-04-ARI@ATL,h2h,mainline,ARI,ARI ,0.4724,111.69,0.3882,,0.3882,devig,"pinnacle, betonlineag, fanduel, betmgm, draftkings, williamhill",0.0842,154,7.93,0.4249,135.33,9.47,1.29,,first,full_game,mainline,"{'fanduel': 146, 'sport888': 145, 'betonlineag': 152, 'lowvig': 152, 'nordicbet': 140, 'betsson': 145, 'williamhill_us': 143, 'draftkings': 145, 'espnbet': 150, 'winamax_fr': 130, 'onexbet': 152, 'fliff': 145, 'gtbets': 153, 'marathonbet': 149, 'windcreek': 145, 'betus': 150, 'fanatics': 145, 'betmgm': 150, 'pinnacle': 151, 'betrivers': 145, 'ballybet': 145, 'betparx': 145, 'unibet_eu': 145, 'williamhill': 150, 'coolbet': 148, 'bovada': 143, 'matchbook': 154, 'hardrockbet': 145, 'everygame': 150, 'betfair_ex_eu': 154, 'tipico_de': 140}",2025-06-04 9:47,Win
,,,,2025-06-04-ARI@ATL,team_totals,mainline,ARI Over 3.5,ARI Over 3.5,0.5992,-149.5,0.4667,,0.466709,devig,"pinnacle, betonlineag, fanduel, draftkings",0.1325,110,6.49,0.5071,-102.87,7.43,1.47,,first,full_game,team_total,hardrockbet,2025-06-04 11:50,Loss
,,,,2025-06-04-BAL@SEA,spreads_1st_5_innings,alternate,BAL +1.5,BAL +1.5,0.7799,-354.34,0.6611,,0.661067,devig,"fanduel, betmgm, draftkings",0.1188,-215,12.16,0.7655,-326.49,13.61,3.27,,first,derivative,derivative,espnbet,2025-06-04 8:04,Win
,,,,2025-06-04-BAL@SEA,spreads_1st_5_innings,alternate,SEA +1.5,SEA +1.5,0.8055,-414.14,0.6887,,0.688666,devig,"fanduel, betmgm, draftkings",0.1168,-235,12.06,0.7861,-367.48,11.8,3.54,,first,derivative,derivative,betmgm,2025-06-04 9:52,Win
,,,,2025-06-04-BAL@SEA,totals_1st_5_innings,alternate,Under 3.5,Under 3.5,0.4589,117.91,0.3457,,0.345708,devig,"pinnacle, fanduel, betmgm, draftkings",0.1132,178,17.15,0.4214,137.29,9.59,1.21,,first,derivative,derivative,fanduel,2025-06-04 12:05,Win
,,,,2025-06-04-CHC@WSH,h2h,mainline,WSH,WSH ,0.5059,-102.39,0.439,,0.438968,devig,"pinnacle, betonlineag, fanduel, betmgm, draftkings, williamhill",0.0669,125,5.82,0.4703,112.63,9.9,1.16,,first,full_game,mainline,"{'fanduel': 116, 'sport888': 115, 'lowvig': 122, 'betonlineag': 122, 'nordicbet': 117, 'betsson': 120, 'williamhill_us': 118, 'espnbet': 120, 'winamax_fr': 110, 'draftkings': 120, 'onexbet': 117, 'fliff': 120, 'williamhill': 120, 'gtbets': 125, 'marathonbet': 115, 'windcreek': 115, 'betus': 122, 'fanatics': 115, 'betmgm': 120, 'hardrockbet': 120, 'pinnacle': 123, 'betrivers': 114, 'ballybet': 114, 'betparx': 114, 'unibet_eu': 114, 'matchbook': 122, 'coolbet': 118, 'bovada': 117, 'everygame': 125, 'tipico_de': 120, 'betfair_ex_eu': 124}",2025-06-04 8:51,Win
,,,,2025-06-04-CHC@WSH,spreads_1st_5_innings,alternate,WSH +1.5,WSH +1.5,0.7882,-372.14,0.6755,,0.675494,devig,"fanduel, betmgm, draftkings",0.1127,-230,7.18,0.747,-295.28,9.31,2.06,,first,derivative,derivative,hardrockbet,2025-06-04 9:27,Win
,,,,2025-06-04-CLE@NYY,h2h,mainline,CLE,CLE ,0.5199,-108.29,0.3661,,0.366146,devig,"pinnacle, betonlineag, fanduel, betmgm, draftkings, williamhill",0.1538,172,16.36,0.4278,133.77,9.05,2.38,,first,full_game,mainline,"{'fanduel': 160, 'sport888': 155, 'betonlineag': 169, 'lowvig': 169, 'nordicbet': 155, 'betsson': 160, 'williamhill_us': 162, 'draftkings': 164, 'espnbet': 160, 'winamax_fr': 155, 'onexbet': 160, 'fliff': 170, 'williamhill': 170, 'gtbets': 168, 'marathonbet': 162, 'windcreek': 155, 'betus': 166, 'betmgm': 155, 'fanatics': 160, 'hardrockbet': 155, 'pinnacle': 168, 'betparx': 160, 'unibet_eu': 155, 'betrivers': 160, 'ballybet': 160, 'matchbook': 172, 'coolbet': 162, 'bovada': 159, 'everygame': 170, 'tipico_de': 160, 'betfair_ex_eu': 172}",2025-06-04 10:03,Win
,,,,2025-06-04-CLE@NYY,totals_1st_5_innings,mainline,Under 5.5,Under 5.5,0.7198,-256.89,0.5608,,0.560844,devig,fanduel,0.159,-148,6.09,0.6331,-172.55,8.03,2.25,,first,derivative,derivative,fanduel,2025-06-04 11:04,Win
,,,,2025-06-04-HOU@PIT,h2h,mainline,PIT,PIT ,0.5422,-118.44,0.4442,,0.444241,devig,"pinnacle, betonlineag, fanduel, betmgm, draftkings, williamhill",0.098,123,10.21,0.4942,102.34,10.61,2.08,,first,full_game,mainline,"{'fanduel': 114, 'sport888': 115, 'nordicbet': 112, 'betsson': 115, 'lowvig': 117, 'betonlineag': 117, 'williamhill_us': 115, 'espnbet': 120, 'winamax_fr': 110, 'onexbet': 120, 'williamhill': 120, 'gtbets': 119, 'marathonbet': 118, 'draftkings': 114, 'fliff': 120, 'windcreek': 115, 'betus': 118, 'betmgm': 120, 'fanatics': 115, 'matchbook': 118, 'hardrockbet': 115, 'pinnacle': 119, 'ballybet': 123, 'unibet_eu': 123, 'betparx': 123, 'betrivers': 123, 'coolbet': 115, 'bovada': 115, 'everygame': 123, 'tipico_de': 120, 'betfair_ex_eu': 120}",2025-06-04 8:04,Win
,,,,2025-06-04-HOU@PIT,totals_1st_5_innings,alternate,Under 3.5,Under 3.5,0.4461,124.16,0.351,,0.351011,devig,"pinnacle, fanduel, betmgm, draftkings",0.0951,178,17.81,0.4238,135.97,10.61,1.25,,first,derivative,derivative,fanduel,2025-06-04 8:04,Win
,,,,2025-06-04-HOU@PIT,spreads_1st_3_innings,alternate,PIT +0.5,PIT +0.5,0.7717,-338.02,0.5993,,0.599271,devig,draftkings,0.1724,-170,14.17,0.7189,-255.7,9.82,3.01,,first,derivative,derivative,fanatics,2025-06-04 8:51,Win
,,,,2025-06-04-HOU@PIT,totals,mainline,Under 9.0,Under 9.0,0.5379,-116.4,0.4767,,0.476661,devig,"pinnacle, fanduel, betmgm, draftkings, mybookieag",0.0612,114,5.76,0.4942,102.34,7.87,1.26,,first,full_game,mainline,matchbook,2025-06-04 10:48,Win
,,,,2025-06-04-NYM@LAD,spreads_1st_3_innings,alternate,LAD +0.5,LAD +0.5,0.7758,-346.03,0.6379,,0.63785,devig,draftkings,0.138,-210,12.18,0.7599,-316.53,14.11,3.195,,first,derivative,derivative,draftkings,2025-06-04 8:04,Loss
,,,,2025-06-04-NYM@LAD,spreads_1st_5_innings,alternate,NYM +1.5,NYM +1.5,0.7466,-294.63,0.6322,,0.632243,devig,"fanduel, betmgm, draftkings",0.1144,-185,5.25,0.6832,-215.66,7.97,1.22,,first,derivative,derivative,espnbet,2025-06-04 14:12,Win
,,,,2025-06-04-NYM@LAD,totals_1st_5_innings,alternate,Under 4.5,Under 4.5,0.5518,-123.11,0.3756,,0.375621,devig,"pinnacle, fanduel, betmgm, draftkings",0.1762,167,15.41,0.4322,131.36,7.12,1.16,,first,derivative,derivative,pinnacle,2025-06-04 15:03,Win
